Variable name,Description,Used in analysis,Data source/basis,Variable type
inquiry_seed_count,# of words on school's website matching 5-term seed inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Count
inquiry_seed_prop,% of words on school's website matching 5-term seed inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Ratio
inquiry_seed_log,logged % of words on school's website matching 5-term seed inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,yes,Author,Log
inquiry_narrow_count,# of words on school's website matching 20-term narrow inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Count
inquiry_narrow_prop,% of words on school's website matching 20-term narrow inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Ratio
inquiry_narrow_log,logged % of words on school's website matching 20-term narrow inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,yes,Author,Log
inquiry_full_count,# of words on school's website matching 50-term full inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Count
inquiry_full_prop,% of words on school's website matching 50-term full inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Ratio
inquiry_full_log,logged % of words on school's website matching 50-term full inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,yes,Author,Log
inquiry_full_nohands_count,# of words on school's website matching 50-term full inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Count
inquiry_full_nohands_prop,% of words on school's website matching 50-term full inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,no,Author,Ratio
inquiry_full_nohands_log,logged % of words on school's website matching 50-term full inquiry-based learning (IBL) dictionary; 'ideological emphasis' on IBL,yes,Author,Log
disciplinecount,# of words on school's website matching formal discipline (FD) dictionary; 'ideological emphasis' on FD,no,Author,Count
disciplineprop,% of words on school's website matching formal discipline (FD) dictionary; 'ideological emphasis' on FD,no,Author,Ratio
traditionalprop,% of words on school's website matching traditional learning dictionary; 'ideological emphasis' on traditionalism,no,Author,Ratio
progressiveprop,% of words on school's website matching progressive learning dictionary; 'ideological emphasis' on progressivism,no,Author,Ratio
pocschoolprop,% Students in school: People of color,yes,CCD PSUS 2015-16,Num
pocschoolcount,# Students in school: People of color,no,CCD PSUS 2015-16,Count
povertyschoolprop,% of students in schooleligible for free lunch or reduced-price lunch,yes,CCD PSUS 2015-16,Num
povertyschoolcount,# of students in schooleligible for free lunch or reduced-price lunch,no,CCD PSUS 2015-16,Num
primary,Whether a primary school: from PK-03 to PK-07,yes,CCD PSUS 2015-16,Binary
middle,Whether a middle school: from 04-07 to 04-09,yes,CCD PSUS 2015-16,Binary
high,Whether a high school: 07-12 to 12,yes,CCD PSUS 2015-16,Binary
otherlevel,Whether some other school level (including ungraded),yes,CCD PSUS 2015-16,Binary
