inquiry_seed_count,inquiry_seed_prop,inquiry_seed_log,inquiry_narrow_count,inquiry_narrow_prop,inquiry_narrow_log,inquiry_full_count,inquiry_full_prop,inquiry_full_log,inquiry_full_nohands_count,inquiry_full_nohands_prop,inquiry_full_nohands_log,traditional_prop,progressive_prop,numwords,numpages,reading1314,math1314,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocschoolcount,povertyschool,povertyschoolcount,pocsd,povertysd,childpovertysd,students,age,state,cmo,cmoname,titlei,urban,primary,middle,high,otherlevel,level,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,approgram,teachersccd,teacherscrdc,certcount,certrate,geodistrict,numpdfs,ncessch,ethnicisolated99,ethnicisolated95,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,readlevel13,mathlevel13,readall13,mathall13,readlevel14,mathlevel14,readall14,mathall14,readlevel15,mathlevel15,readall15,mathall15,readingscore,mathscore,readpct,mathpct,read5,math5,read10,math10,read20,math20,read50,math50,cmonum,statenum,pctpdfs,teachers,lnage,lnstudents,lnteachers
0,0,0,0,0,0,0,0,0,0,0,0,0,.00075244543,1330,1,85-89,80-84,40-44,40-44,,,45-49,45-49,66.842102,127,53.684212,102,.32449999,.075400002,.10798751,190,17,AK,0,None,1,0,1,0,0,0,Primary,0,10,0,0,13,,,12,12,12,1,200150,0,20015000306,1,1,1,1,1,23.77,2.822938,7.5700002,8.1800003,.11111111,10,2,5,5,.87,.81999999,5,5,.41999999,.41999999,,,,,,,,,,,,,,,,,None,AK,0,12,2.8332133,5.2470241,2.4849067
0,0,0,1,.00003536318,.067625172,13,.00045991651,.25748369,11,.00038913259,.24244209,.00021217907,.00017682841,28279,117,75-79,55-59,50-54,35-39,,,40-44,50-54,53.846153,91,52.071007,88,.32449999,.075400002,.10798751,169,12,AK,0,None,1,0,1,0,0,0,Primary,0,5,0,0,8,21,,10.5,11,11,1,200150,0,20015000523,1,1,1,1,1,23.77,2.822938,7.5700002,8.1800003,.11111111,10,2,5,5,.76999998,.56999999,5,5,.51999998,.37,,,,,,,,,,,,,,,,,None,AK,0,10.5,2.4849067,5.1298985,2.3513753
0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,1,GE95,GE95,70-74,65-69,,,70-74,65-69,26.259947,99,0,0,.35740003,.056299999,.08858896,377,17,AK,0,None,0,1,1,0,0,0,Primary,0,11,12,0,8,21,,19.799999,20.799999,20.799999,1,200180,0,20018000172,1,1,1,1,1,34.299999,175.58749,6.0500002,10.29,0,101,9,5,5,.97000003,.97000003,5,5,.72000003,.67000002,,,,,,,,,,,,,,,,,None,AK,0,19.799999,2.8332133,5.9322453,2.985682
0,0,0,0,0,0,2,.00012880788,.11384187,2,.00012880788,.11384187,.00032197824,.00064424687,15529,33,80-84,60-64,40-44,15-19,,,45-49,25-29,25.274725,69,0,0,.35740003,.056299999,.08858896,273,10,AK,0,None,0,1,1,0,0,0,Primary,0,8,5,0,10,31,,14,16.190001,16.190001,1,200180,0,20018000459,1,1,1,1,1,34.299999,175.58749,6.0500002,10.29,0,101,9,5,5,.81999999,.62,5,5,.41999999,.17,,,,,,,,,,,,,,,,,None,AK,0,14,2.3025851,5.6094718,2.6390574
0,0,0,0,0,0,2,.00025690431,.12261361,2,.00025690431,.12261361,.00012841915,.00025690431,7787,15,80-84,50-54,40-44,20-24,,,45-49,25-29,28.148148,76,0,0,.35740003,.056299999,.08858896,270,12,AK,0,None,0,1,0,0,0,1,Other,0,0,0,0,14,,No,2,3.49,3.49,1,200180,0,20018000530,1,1,1,1,1,34.299999,175.58749,6.0500002,10.29,0,101,9,5,5,.81999999,.51999998,5,5,.41999999,.22,,,,,,,,,,,,,,,,,None,AK,0,2,2.4849067,5.5984221,.69314718
0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,1,90-94,60-64,50-54,20-24,,,50-54,35-39,42.944786,70,0,0,.35740003,.056299999,.08858896,163,12,AK,0,None,0,1,0,0,0,1,Other,0,9,1,0,10,34,No,11,12,12,1,200180,0,20018000555,1,1,1,1,1,34.299999,175.58749,6.0500002,10.29,0,101,9,5,5,.92000002,.62,5,5,.51999998,.22,,,,,,,,,,,,,,,,,None,AK,0,11,2.4849067,5.09375,2.3978953
0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,1,75-79,65-69,20-24,30-34,,,20-24,35-39,95.398773,311,100,326,.35740003,.056299999,.08858896,326,7,AK,0,None,1,1,1,0,0,0,Primary,0,7,0,0,50,34,,21.25,21,21,1,200180,0,20018000736,1,1,1,1,1,34.299999,175.58749,6.0500002,10.29,0,101,9,5,5,.76999998,.67000002,5,5,.22,.31999999,,,,,,,,,,,,,,,,,None,AK,0,21.25,1.9459101,5.7868972,3.0563569
0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,1,,,,,,,35-39,15-19,38.613861,39,0,0,.35740003,.056299999,.08858896,101,1,AK,0,None,,1,0,0,0,1,Other,0,0,0,0,2,,No,,1.78,1.78,1,200180,0,20018000756,1,1,1,1,1,34.299999,175.58749,6.0500002,10.29,0,101,9,,,,,,,,,,,,,,,,,,,,,,,,,None,AK,0,1.78,0,4.6151204,.57661337
5,.0010897995,.21251537,9,.0019633507,.27313116,16,.0034949761,.33612618,12,.0026189438,.30426839,.0002179599,.0004361099,4588,6,80-84,70-74,55-59,55-59,,,60-64,50-54,47.297298,35,25.675676,19,.30590001,.042300001,.079398729,74,17,AK,0,None,0,0,1,0,0,0,Primary,0,0,0,0,6,,,5.3600001,6.6999998,6.6999998,1,200210,0,20021000268,1,1,1,1,1,39.43,12.03732,4.9299998,8.1700001,0,15,1,5,5,.81999999,.72000003,5,5,.56999999,.56999999,,,,,,,,,,,,,,,,,None,AK,0,5.3600001,2.8332133,4.3040652,1.678964
0,0,0,0,0,0,3,.00010415582,.13500805,1,.000034716195,.067503572,0,0,28805,66,GE90,80-89,60-69,50-59,,,50-59,50-59,20.652174,19,27.173914,25,.16360001,.0713,.14441586,92,17,AK,0,None,1,0,1,0,0,0,Primary,0,0,0,0,0,21,,8.5,8.3199997,8.3199997,1,200390,0,20039000296,1,1,1,1,1,23.68,3.5854321,8.71,2.8199999,0,43,4,10,10,.94999999,.85000002,10,10,.64999998,.55000001,,,,,,,,,,,,,,,,,None,AK,0,8.5,2.8332133,4.5217886,2.1400661
